,name,total.pop,married,dependent,veteran,first-generation
1,"alabama,autauga",54571,8.1843014,65.3887509,0,47.7221142
2,"alabama,baldwin",182265,16.4819945,37.2576177,0,50.3412969
3,"alabama,barbour",27457,15.3914452,45.0771331,0.855515,41.8440847
4,"alabama,bibb",22915,14.9851865,32.4883656,0.8337786,52.2440316
5,"alabama,blount",57322,25.4253296,29.2248564,2.2671962,47.3409379
6,"alabama,bullock",10914,0,0,0,0
7,"alabama,butler",20947,3.9362699,86.972821,0,36.5517241
8,"alabama,calhoun",118572,16.7447204,36.3687814,0.8433348,48.9228372
9,"alabama,chambers",34215,19.8958333,45.7291667,0.8072917,48.8847
10,"alabama,cherokee",25989,12.9781421,71.9945355,0,39.4428153
11,"alabama,chilton",43643,28.2203776,35.9583482,6.3037305,52.2900841
12,"alabama,choctaw",13859,11.0551975,58.0868372,1.6635618,48.3082597
13,"alabama,clarke",25833,22.2579349,41.6633186,2.0088389,49.1244676
14,"alabama,clay",13932,10.9801032,66.2859248,0.8474576,44.5288075
15,"alabama,cleburne",14972,9.600477,69.2903995,0.6559332,46.4673913
16,"alabama,coffee",49948,23.0559946,22.20623,3.7853037,51.0934769
17,"alabama,colbert",54428,10.5051245,57.942899,0.9516838,42.9898649
18,"alabama,conecuh",13228,18.3673469,52.0408163,0,0
19,"alabama,coosa",11539,0,85.8267717,0,0
20,"alabama,covington",37765,3.1553398,79.368932,0,30.9333333
21,"alabama,crenshaw",13906,8.4398977,70.9292413,0,35.2941177
22,"alabama,cullman",80406,11.4864865,75.9214195,0,37.9193294
23,"alabama,dale",50251,15.7648371,28.0595929,1.8165249,51.1725809
24,"alabama,dallas",43820,22.1453287,29.7577855,0,50
25,"alabama,de kalb",NA,18.3919295,34.4066321,1.9999599,47.2682377
26,"alabama,elmore",79303,0,0,0,15.6321839
27,"alabama,escambia",38319,13.6078783,54.252462,1.0743062,43.2515337
28,"alabama,etowah",104430,13.4581432,51.0910987,0.7789862,55.1876945
29,"alabama,fayette",17241,41.8604651,0,0,0
30,"alabama,franklin",31704,8.3743842,33.497537,0,55.2631579
31,"alabama,geneva",26790,27.8468156,41.4188629,3.0404076,46.5979371
32,"alabama,greene",9045,1.4605203,91.5107257,0,38.6843397
33,"alabama,hale",15760,15.7934739,48.3975489,1.1093236,50.1728284
34,"alabama,henry",17302,10.2502406,50.1924928,0.8662175,48.7477092
35,"alabama,houston",101547,13.1377551,61.9897959,0,48.7256372
36,"alabama,jackson",53227,20.0614862,28.2938942,1.145213,56.0587456
37,"alabama,jefferson",658466,17.0362598,46.8028202,1.0416983,44.3282562
38,"alabama,lamar",14564,0,66.1290323,0,49.112426
39,"alabama,lauderdale",92709,21.5501837,31.5532294,2.9556929,50.6057027
40,"alabama,lawrence",34339,10,45.4051566,0,46.6959511
41,"alabama,lee",140247,12.2114669,60.5361132,1.1169025,52.18509
42,"alabama,limestone",82782,16.3976522,61.5223771,0.7703595,46.0324055
43,"alabama,lowndes",11299,19.6424941,30.9259573,0,69.6206299
44,"alabama,macon",21452,0,92.8039702,0,46.9496021
45,"alabama,madison",334811,0,77.4319066,0,44.2922374
46,"alabama,marengo",21027,18.5185185,0,27.7777778,0
47,"alabama,marion",30776,26.1958028,28.0094812,0.8202834,53.1896173
48,"alabama,marshall",93019,3.0141844,84.3971631,0,42.2385077
49,"alabama,mobile",412992,12.2488726,53.3366513,1.5920792,39.1060376
50,"alabama,monroe",23068,3.7084399,84.0153453,1.2787724,53.028065
51,"alabama,montgomery",229363,14.7141555,44.1260888,1.5641961,55.204575
52,"alabama,morgan",119490,0,0,0,0
53,"alabama,perry",10591,21.0474547,63.256785,0.9394572,55.6270717
54,"alabama,pickens",19746,14.1618302,46.3692806,0.8098259,52.2367336
55,"alabama,pike",32899,5.8064516,85.8064516,0,27.9883382
56,"alabama,randolph",22913,0,77.5070846,0,17.2832981
57,"alabama,russell",52947,11.1128916,61.0207515,1.6424966,51.5820531
59,"alabama,st clair",83593,17.2143179,45.9938753,1.7599973,47.1864442
58,"alabama,shelby",195085,17.2143179,45.9938753,1.7599973,47.1864442
60,"alabama,sumter",13763,17.2143179,45.9938753,1.7599973,47.1864442
61,"alabama,talladega",82291,17.2143179,45.9938753,1.7599973,47.1864442
62,"alabama,tallapoosa",41616,17.2143179,45.9938753,1.7599973,47.1864442
63,"alabama,tuscaloosa",194656,17.2143179,45.9938753,1.7599973,47.1864442
64,"alabama,walker",67023,17.2143179,45.9938753,1.7599973,47.1864442
65,"alabama,washington",17581,17.2143179,45.9938753,1.7599973,47.1864442
66,"alabama,wilcox",11670,17.2143179,45.9938753,1.7599973,47.1864442
67,"alabama,winston",24484,17.2143179,45.9938753,1.7599973,47.1864442
