"INSTNM","MN_EARN_WNE_P7","MN_EARN_WNE_P6","MN_EARN_WNE_P8","MN_EARN_WNE_P9","MN_EARN_WNE_P10","CITY","STABBR","INSTURL","LO_INC_DEBT_MDN","MD_INC_DEBT_MDN","HI_INC_DEBT_MDN","LOAN_EVER","CONTROL"
"32","Lawson State Community College-Birmingham Campus","24200","22500","24100","25600","26800","Birmingham","AL","www.lawsonstate.edu","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Public"
"33","University of West Alabama","33300","29800","35700","35700","37300","Livingston","AL","www.uwa.edu","13182","12000","9699.5","0.874331551","Public"
"34","Lurleen B Wallace Community College","26300","23700","28800","31600","30300","Andalusia","AL","www.lbwcc.edu","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Public"
"35","Marion Military Institute","33500","34400","39900","48300","48200","Marion","AL","www.marionmilitary.edu","5500","5500","5500","0.825123153","Public"
"36","Miles College","23100","21700","24500","27600","28100","Fairfield","AL","www.miles.edu","11505","14259.5","14250","0.824527071","Private"
"37","University of Mobile","36300","32100","35800","40100","38000","Mobile","AL","www.umobile.edu","25000","20500","19450","0.902439024","Private"
"38","University of Montevallo","30700","26600","30800","35600","36300","Montevallo","AL","www.montevallo.edu","15000","17000","15000","0.860300619","Public"
"39","Northwest-Shoals Community College","25800","23700","27100","29300","29700","Muscle Shoals","AL","www.nwscc.edu","5000","4500","4250","0.323244552","Public"
"40","University of North Alabama","33700","30100","35900","37300","39600","Florence","AL","www.una.edu","12000","13405","13552","0.833118833","Public"
"41","Northeast Alabama Community College","27100","24800","28300","30600","30800","Rainsville","AL","www.nacc.edu","3500","3475","4650","0.157240522","Public"
"42","Oakwood University","29400","26900","32000","35900","38800","Huntsville","AL","www.oakwood.edu","22750","24500","24250","0.893902439","Private"
"43","Alabama Southern Community College","24200","22900","27600","26400","27800","Monroeville","AL","www.ascc.edu","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Public"
"44","Prince Institute-Southeast","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","29100","PrivacySuppressed","Elmhurst","IL","princeinstitute.edu","13863","18012","16693","PrivacySuppressed","Private"
"45","Reid State Technical College","22200","23800","24900","23700","24500","Evergreen","AL","www.rstc.edu","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Public"
"46","Bishop State Community College","23600","22300","24300","26700","26500","Mobile","AL","www.bishop.edu","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Public"
"47","Samford University","46500","41600","49200","58100","57000","Birmingham","AL","www.samford.edu","18750","18123.5","15674.5","0.87100894","Private"
"48","Selma University","NULL","NULL","NULL","NULL","NULL","Selma","AL","selmauniversity.edu","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","0.937209302","Private"
"49","Shelton State Community College","24700","23500","26600","26900","28300","Tuscaloosa","AL","www.sheltonstate.edu","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Public"
"50","Snead State Community College","25600","24800","27700","28000","29600","Boaz","AL","www.snead.edu","3500","3500","3955","0.380100615","Public"
"51","University of South Alabama","37300","33900","39300","43300","44100","Mobile","AL","www.southalabama.edu","13000","14000","12500","0.881877342","Public"
"52","Spring Hill College","36000","37000","39400","46600","49400","Mobile","AL","www.shc.edu","21750","20500","20000","0.929323308","Private"
"53","Southeastern Bible College","29400","32200","31900","36400","36500","Birmingham","AL","www.sebc.edu","19582","20275","19000","0.880733945","Private"
"54","Stillman College","23800","23100","28700","26700","27900","Tuscaloosa","AL","www.stillman.edu","16200","17500","9500","0.888888889","Private"
"55","Talladega College","20900","20600","19600","26300","26400","Talladega","AL","www.talladega.edu","14250","19521","23125","0.707142857","Private"
"56","H Councill Trenholm State Community College","25900","21900","25400","25900","27400","Montgomery","AL","www.trenholmstate.edu","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Public"
"57","Troy University","35900","32500","37100","38800","38800","Troy","AL","www.troy.edu","14250","15558","13824","0.841597192","Public"
"58","Tuskegee University","33900","31500","37100","40100","41600","Tuskegee","AL","www.tuskegee.edu","21000","23500","19625","0.904","Private"
"59","United States Sports Academy","PrivacySuppressed","42600","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Daphne","AL","www.ussa.edu","9950","11323.5","9157","0.81","Private"
"60","Bevill State Community College","26600","25400","27700","28300","29800","Jasper","AL","www.bscc.edu","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Public"
"61","University of Alaska Anchorage","41900","40000","45800","44500","46600","Anchorage","AK","www.uaa.alaska.edu","11000","10500","8250","0.593763169","Public"
"62","Alaska Bible College","NULL","NULL","NULL","NULL","NULL","Palmer","AK","www.akbible.edu/","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Private"
"63","University of Alaska Fairbanks","36800","35700","40200","41600","41500","Fairbanks","AK","www.uaf.edu","11000","11000","8312.5","0.642004773","Public"
"64","University of Alaska Southeast","35000","32300","34700","38600","39200","Juneau","AK","www.uas.alaska.edu","11251","10500","7550","0.660278746","Public"
"65","Alaska Pacific University","39500","38700","39700","48800","50400","Anchorage","AK","www.alaskapacific.edu","18000","19924","18750","0.845528455","Private"
"66","AVTEC-Alaska's Institute of Technology","38300","33400","40600","39100","42100","Seward","AK","www.avtec.edu/","9055","PrivacySuppressed","PrivacySuppressed","0.438423645","Public"
"67","Charter College-Anchorage","39900","32500","40200","46300","43700","Anchorage","AK","www.chartercollege.edu","10500","9500","9500","0.89509587","Private"
"68","Alaska Career College","27600","26400","28400","29600","30600","Anchorage","AK","www.alaskacareercollege.edu","8423","7199","6156","0.814863103","Private"
"69","Everest College-Phoenix","28500","24200","28300","29100","29900","Phoenix","AZ","www.everestcollegephoenix.edu","9186","9500","9500","0.847590462","Private"
"70","Collins College","26800","23800","27100","28400","30400","Phoenix","AZ","www.collinscollege.edu","33631","41000","36126","0.921296296","Private"
"71","Empire Beauty School-Paradise Valley","21100","PrivacySuppressed","23500","23800","23400","Phoenix","AZ","www.empire.edu","8470.5","7350","6222","0.818883611","Private"
"72","Empire Beauty School-Tucson","20000","19700","21800","23200","22100","Tucson","AZ","www.empire.edu","7452","8100","8044","0.830029249","Private"
"73","Thunderbird School of Global Management","108400","109300","126600","155200","161500","Glendale","AZ","www.thunderbird.edu","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Private"
"74","American Indian College Inc","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Phoenix","AZ","www.aicag.edu/","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","0.587301587","Private"
"75","American Institute of Technology","31900","29100","31700","31600","32400","Phoenix","AZ","www.ait-schools.com","6030","6083.5","3666","0.977955912","Private"
"76","Carrington College-Phoenix","25200","26000","24600","28700","27000","Phoenix","AZ","www.carrington.edu","9499","9500","9500","0.880378159","Private"
"77","Carrington College-Mesa","25200","26000","24600","28700","27000","Mesa","AZ","www.carrington.edu","9499","9500","9500","0.880378159","Private"
"78","Carrington College-Tucson","25200","26000","24600","28700","27000","Tucson","AZ","www.carrington.edu","9499","9500","9500","0.880378159","Private"
"79","CollegeAmerica-Flagstaff","22700","18900","22600","PrivacySuppressed","25500","Flagstaff","AZ","www.collegeamerica.edu","15884.5","20000","17647","0.934837093","Private"
"80","Arizona Academy of Beauty-East","20600","PrivacySuppressed","16400","20700","19600","Tucson","AZ","www.arizonaacademy.com","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Private"
"81","Arizona Automotive Institute","29900","24100","32200","33200","34500","Glendale","AZ","www.aai.edu","9500","9500","9500","0.788932806","Private"
"82","Brookline College-Phoenix","21400","21200","20800","24000","23600","Phoenix","AZ","www.brooklinecollege.edu","9500","9500","9500","0.902789285","Private"
"83","Arizona State University-Tempe","43300","39400","46600","50400","52100","Tempe","AZ","www.asu.edu/","15651","15522.5","14590","0.824563165","Public"
"84","Arizona Western College","27600","24300","27900","28700","30400","Yuma","AZ","www.azwestern.edu","4750","3500","2750","0.062106406","Public"
"85","University of Arizona","43500","38100","46200","49200","53200","Tucson","AZ","www.arizona.edu","13500","13654","13000","0.77019573","Public"
"86","Southwest University of Visual Arts-Tucson","29000","22600","27900","27500","30900","Tucson","AZ","www.suva.edu","40000","34500","32537","PrivacySuppressed","Private"
"87","Central Arizona College","28900","27200","27800","30400","31100","Coolidge","AZ","www.centralaz.edu","4956.5","5882","5500","0.251041667","Public"
"88","Brown Mackie College-Tucson","29200","30300","29000","29900","30300","Tucson","AZ","www.brownmackie.edu","11093.5","14326","13000","0.892460773","Private"
"89","Charles of Italy Beauty College","15400","17800","16100","20000","18600","Lake Havasu City","AZ","www.charlesofitaly.edu","5948","PrivacySuppressed","PrivacySuppressed","0.836734694","Private"
"90","Cochise County Community College District","30300","26000","29700","36200","34300","Douglas","AZ","www.cochise.edu","3839.5","4289","4000","0.161526398","Public"
"91","Empire Beauty School-Flagstaff","20500","19500","21200","20700","24300","Flagstaff","AZ","www.empire.edu","7350","8028","8080","0.835875534","Private"
"92","Empire Beauty School-Chandler","20500","19500","21200","20700","24300","Chandler","AZ","www.empire.edu","7350","8028","8080","0.835875534","Private"
"93","Cortiva Institute-Tucson","24100","22700","26300","27400","25000","Tucson","AZ","www.cortiva.com/","6333","6333","6333","0.886227545","Private"
"94","Avalon School of Cosmetology-Mesa","20900","18500","20000","21400","23400","Mesa","AZ","avalon.edu/locations/mesa-az/","8615","10555","10552","0.927288281","Private"
"95","Eastern Arizona College","27700","26500","30900","31500","33800","Thatcher","AZ","www.eac.edu","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Public"
"96","Embry-Riddle Aeronautical University-Prescott","54700","49700","59300","61400","65700","Prescott","AZ","www.erau.edu","12473","12478","15500","0.636363636","Private"
"97","Frank Lloyd Wright School of Architecture","NULL","NULL","NULL","NULL","NULL","Scottsdale","AZ","www.taliesin.edu","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL","Private"
"98","Glendale Community College","33200","29900","33600","36500","36900","Glendale","AZ","www.gccaz.edu","3500","4454","3500","0.37491076","Public"
"99","Grand Canyon University","50500","43100","51800","51100","50800","Phoenix","AZ","www.gcu.edu","9500","14102.5","15625","0.873369506","Private"
"100","International Academy of Hair Design","21100","19600","22100","23000","25000","Tempe","AZ","www.intlacademyaz.com/","6333","PrivacySuppressed","PrivacySuppressed","0.857638889","Private"
"101","GateWay Community College","33700","34600","33700","34500","34500","Phoenix","AZ","www.gatewaycc.edu","5774.5","7969","7766","0.5","Public"
"102","Mesa Community College","34500","30500","35600","38900","40100","Mesa","AZ","www.mesacc.edu","4500","4500","3500","0.455118411","Public"
"103","ITT Technical Institute-Tucson","36700","33100","38300","40000","42800","Tucson","AZ","www.itt-tech.edu","12667","17014","17000","0.800189188","Private"
"104","ITT Technical Institute-Tempe","36700","33100","38300","40000","42800","Tempe","AZ","www.itt-tech.edu","12667","17014","17000","0.800189188","Private"
"105","Mohave Community College","30000","24700","29400","29500","30200","Kingman","AZ","www.mohave.edu","8574","7609","4462","0.302240512","Public"
"106","Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division","33100","32300","35400","34100","37000","Phoenix","AZ","www.uti.edu/","16063","15188","12000","0.867413993","Private"
"107","Dine College","21200","19300","21400","25000","23600","Tsaile","AZ","www.dinecollege.edu","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Public"
"108","Northern Arizona University","37000","34700","37900","41900","43400","Flagstaff","AZ","nau.edu/","13558","13356","13750","0.817273193","Public"
"109","Northland Pioneer College","24800","21700","25800","26000","28700","Holbrook","AZ","www.npc.edu","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Public"
"110","Ottawa University-Phoenix","42000","39900","42200","44300","44700","Phoenix","AZ","www.ottawa.edu","12500","13770","13750","0.933220147","Private"
"111","Phoenix College","31500","28600","31200","35200","35800","Phoenix","AZ","www.phoenixcollege.edu","5755","7660","5500","0.446660159","Public"
"112","Cortiva Institute-Scottsdale","25100","24600","23500","29200","28200","Scottsdale","AZ","www.cortiva.com/","7600","PrivacySuppressed","PrivacySuppressed","0.921348315","Private"
"113","Pima Community College","29800","26900","30400","33500","34100","Tucson","AZ","www.pima.edu","4000","4500","3500","0.300439473","Public"
"114","Pima Medical Institute-Tucson","27500","27000","27200","29000","29800","Tucson","AZ","pmi.edu","8445","8708","9298","0.890413897","Private"
"115","Pima Medical Institute-Albuquerque","27500","27000","27200","29000","29800","Albuquerque","NM","pmi.edu","8445","8708","9298","0.890413897","Private"
"116","Prescott College","29100","27900","30000","34100","34200","Prescott","AZ","www.prescott.edu","18000","15750","14000","0.83982684","Private"
"117","Refrigeration School Inc","39400","35000","40400","40000","39900","Phoenix","AZ","refrigerationschool.com","9500","9744","8232","0.824514991","Private"
"118","Rio Salado College","36400","33600","38800","37100","39300","Tempe","AZ","www.rio.maricopa.edu","3500","3500","3500","0.658913721","Public"
"119","Roberto-Venn School of Luthiery","22700","PrivacySuppressed","23500","PrivacySuppressed","29600","Phoenix","AZ","www.roberto-venn.com","7307","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Private"
"120","Hair Academy of Safford","PrivacySuppressed","PrivacySuppressed","17600","14200","PrivacySuppressed","Safford","AZ","hairacademysafford.com","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","0.510204082","Private"
"121","Scottsdale Community College","35000","32400","36800","40700","41100","Scottsdale","AZ","www.scottsdalecc.edu","4500","3500","3500","0.552016985","Public"
"122","South Mountain Community College","28200","26600","29500","29300","30500","Phoenix","AZ","www.southmountaincc.edu","5500","4981.5","5250","0.407329105","Public"
"123","Arizona Christian University","29000","26700","32800","28600","32400","Phoenix","AZ","www.arizonachristian.edu","11108","9500","12000","0.864321608","Private"
"124","Tucson College","21200","20200","22900","24700","23600","Tucson","AZ","www.tucsoncollege.edu","9498","9499","5500","0.907131012","Private"
"125","Universal Technical Institute of Arizona Inc","39200","35500","41000","43800","45700","Avondale","AZ","www.uti.edu","14750","14243","12000","0.864444861","Private"
"126","Western International University","46700","34400","38000","56900","54900","Tempe","AZ","www.west.edu","18847","21517.5","20179","0.798319328","Private"
"127","Empire Beauty School-NW Phoenix","19800","19400","19800","20900","21900","Phoenix","AZ","www.empire.edu","6820.5","6968","9500","0.791105543","Private"
"128","Yavapai College","28400","27000","29000","31500","33100","Prescott","AZ","www.YC.EDU","5593","4754","4943","0.338651905","Public"
"129","University of Arkansas at Little Rock","33400","32200","34300","37200","37600","Little Rock","AR","ualr.edu/www/","12750","12523","10500","0.838943553","Public"
"130","University of Arkansas for Medical Sciences","67400","64700","66400","71100","69500","Little Rock","AR","www.uams.edu","12500","12500","7500","0.892215569","Public"
"131","ABC Beauty College Inc","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Arkadelphia","AR","www.abc-beautycollege.com","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Private"
"132","Arkansas Baptist College","21900","19100","21600","22900","24400","Little Rock","AR","www.arkansasbaptist.edu","10250","9500","9500","0.899280576","Private"
"133","Arkansas Beauty School-Little Rock","PrivacySuppressed","PrivacySuppressed","13600","PrivacySuppressed","PrivacySuppressed","Little Rock","AR","arkbeautyschool.com","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","0.898148148","Private"
"134","Arkansas Beauty College","NULL","PrivacySuppressed","PrivacySuppressed","NULL","PrivacySuppressed","Russellville","AR","www.arkansasbeautycollegersvlar.com/","5500","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Private"
"135","Lyon College","36200","31500","35900","40000","41800","Batesville","AR","www.lyon.edu","15000","11350","10000","0.915601023","Private"
"136","Arkansas College of Barbering and Hair Design","12000","PrivacySuppressed","15800","16200","19600","North Little Rock","AR","www.arkansascollegeofbarbering.com","9500","PrivacySuppressed","PrivacySuppressed","0.894039735","Private"
"137","Arthur's Beauty College Inc-Fort Smith","16800","17500","16000","14500","15200","Fort Smith","AR","www.arthursbeautycollege.com","6750","PrivacySuppressed","PrivacySuppressed","0.842465753","Private"
"138","University of Arkansas","40800","38000","44500","47200","49100","Fayetteville","AR","www.uark.edu","14748.5","14648.5","13925","0.845289801","Public"
"139","University of Arkansas at Pine Bluff","25800","23400","26300","30900","30300","Pine Bluff","AR","www.uapb.edu","12380","16023","15000","0.672702884","Public"
"140","Arkansas State University-Beebe","28300","27300","29900","PrivacySuppressed","37100","Beebe","AR","www.asub.edu","4500","4769.5","5250","0.330578512","Public"
"141","Arkansas State University-Main Campus","30600","30400","31800","35100","35600","Jonesboro","AR","www2.astate.edu","12763","11993","11000","0.726134585","Public"
"142","Arkansas Tech University","32200","30200","33500","36500","37000","Russellville","AR","www.atu.edu","9975.5","11000","9500","0.728038508","Public"
"143","University of Arkansas at Monticello","29100","26300","31400","35900","34600","Monticello","AR","www.uamont.edu/","7065","7937","7770","0.727753728","Public"
"144","Arthur's Beauty College Inc-Jacksonville","16100","17400","15800","17300","16800","Jacksonville","AR","arthursbeautycollege.com","8373.5","PrivacySuppressed","PrivacySuppressed","0.87254902","Private"
"145","Baptist Health College-Little Rock","42800","41500","42100","42400","44900","Little Rock","AR","https://www.bhclr.edu","9500","13585","10415","0.880121396","Private"
"146","Black River Technical College","26000","23200","26400","28900","30300","Pocahontas","AR","www.blackrivertech.edu","7790","5990","6000","0.368907563","Public"
"147","University of Central Arkansas","34400","31000","36800","39000","40400","Conway","AR","www.uca.edu","10661.5","11500","11000","0.82267951","Public"
"148","Central Baptist College","34600","32700","37100","38200","35200","Conway","AR","www.cbc.edu","9951","13273","8750","0.90376569","Private"
"149","Cossatot Community College of the University of Arkansas","23700","22200","23100","25300","27800","De Queen","AR","www.cccua.edu/","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Public"
"150","Crowley's Ridge College","25600","25200","26300","32200","37900","Paragould","AR","www.crc.edu/","9069.5","12000","5500","0.89516129","Private"
"151","Crowley's Ridge Technical Institute","19600","20400","21600","23200","22100","Forrest City","AR","www.crti.tec.ar.us","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Public"
"152","East Arkansas Community College","22300","21400","23600","25500","24800","Forrest City","AR","WWW.EACC.EDU","1750","PrivacySuppressed","PrivacySuppressed","0.074450085","Public"
"153","Eastern College of Health Vocations-Little Rock","18500","17700","18900","20300","19500","Little Rock","AR","www.easterncollege.edu","3412","4252.5","4263","0.763179238","Private"
"154","Imagine-Paul Mitchell Partner School","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","North Little Rock","AR","www.pmlittlerock.com","9500","9833","9833","0.884816754","Private"
"155","National Park Community College","24900","23700","25100","27600","28600","Hot Springs","AR","www.np.edu","9500","8000","5500","0.451174289","Public"
"156","University of Arkansas Community College-Batesville","26600","26100","27000","27300","29100","Batesville","AR","www.uaccb.edu","8250","6063","5143","0.183727034","Public"
"157","Harding University","35900","33500","39300","41500","43600","Searcy","AR","www.harding.edu","17385","19786","21000","0.912204234","Private"
"158","Henderson State University","32400","28800","34000","37300","37900","Arkadelphia","AR","www.hsu.edu","9188","11000","9500","0.775","Public"
"159","Hendrix College","35000","28100","36500","41200","46400","Conway","AR","www.hendrix.edu","21250","21564","15750","0.921161826","Private"
"160","Hot Springs Beauty College","13300","PrivacySuppressed","PrivacySuppressed","15400","PrivacySuppressed","Hot Springs","AR","hotspringsbeautycollege.com","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","0.5625","Private"
"161","Jefferson Regional Medical Center School of Nursing","43500","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Pine Bluff","AR","www.jrmc.org","14500","PrivacySuppressed","PrivacySuppressed","0.824324324","Private"
"162","John Brown University","46600","43700","50400","54500","54300","Siloam Springs","AR","www.jbu.edu","17500","20000","18588","0.862068966","Private"
"163","Lees School of Cosmetology","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","North  Little Rock","AR","www.leesschool.com","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Private"
"164","Career Academy of Hair Design","20000","PrivacySuppressed","20400","PrivacySuppressed","PrivacySuppressed","Springdale","AR","www.beautynwa.com","6365","6365","4565","0.94224924","Private"
"165","Academy of Salon and Spa","PrivacySuppressed","15700","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Fort Smith","AR","www.academysalonspa.com","6521","PrivacySuppressed","PrivacySuppressed","0.893333333","Private"
"166","Arkansas State University Mid-South","22000","19900","23900","25300","25800","West Memphis","AR","www.midsouthcc.edu","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Public"
"167","Arkansas Northeastern College","25500","24100","26400","25300","27100","Blytheville","AR","www.anc.edu","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Public"
"168","Margaret's Hair Academy Inc","16000","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Monticello","AR","margarethairacademy.com","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","0.6625","Private"
"169","New Tyler Barber College Inc","13800","15100","17200","15900","18600","North Little Rock","AR","newtylerbarbercollege.com","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","0.516853933","Private"
"170","North Arkansas College","25100","24000","25200","26900","27900","Harrison","AR","www.northark.edu","8000","7985","4500","0.245210728","Public"
"171","Northwest Technical Institute","26300","24300","29000","29900","31000","Springdale","AR","www.nwti.edu","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Public"
"172","Ouachita Baptist University","34100","29400","38500","39500","41900","Arkadelphia","AR","www.obu.edu","11035","19000","14850","0.872013652","Private"
"173","College of the Ouachitas","25500","23700","26400","25300","28100","Malvern","AR","www.coto.edu","6869.5","5437.5","4000","0.447870778","Public"
"174","Ozarka College","22800","21700","23700","26700","27900","Melbourne","AR","www.ozarka.edu","9500","9225","4700","0.343220339","Public"
"175","University of the Ozarks","34000","29400","32400","34000","38300","Clarksville","AR","www.ozarks.edu","9500","13000","12000","0.750929368","Private"
"176","University of Arkansas Community College-Morrilton","26200","27200","28000","27900","29700","Morrilton","AR","www.uaccm.edu","4750","5372.5","4463","0.456466069","Public"
"177","Philander Smith College","24800","22900","24800","28800","27900","Little Rock","AR","www.philander.edu","19000","22000","23681","0.923753666","Private"
"178","Phillips Community College of the University of Arkansas","21500","20200","23100","23200","24400","Helena","AR","www.pccua.edu","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Public"
